Line Name,Station Name,Evening_Train,train_number,train_actual_time,WorkDay,train_hour_24,train_late_by_min
NJ TRANSIT - MBPJ,Secaucus,FALSE,46,701,workday,7,< 20
NJ TRANSIT - ME,Morristown,TRUE,6664,1734,workday,17,< 20
NJ TRANSIT - ME,Morris Plains,TRUE,853,1655,workday,16,< 20
NJ TRANSIT - ME,Basking Ridge,FALSE,420,1109,workday,11,< 20
NJ TRANSIT - MOBO,Bay Street,FALSE,6219,847,workday,8,< 20
NJ TRANSIT - NEC,Princeton Junction,TRUE,3949,1755,workday,17,< 20
NJ TRANSIT - ME,Morris Plains,FALSE,6610,610,workday,6,< 20
NJ TRANSIT - RVL,Annandale,TRUE,5742,1504,workday,15,< 20
NJ TRANSIT - RVL,Metropark,TRUE,5439,1742,workday,17,< 20
NJ TRANSIT - NEC,Secaucus,FALSE,3710,809,workday,8,< 20
NJ TRANSIT - ME,PSNY,FALSE,6611,749,workday,7,< 20
NJ TRANSIT - MBPJ,Clifton,TRUE,1223,1818,workday,18,< 20
NJ TRANSIT - RVL,Metropark,TRUE,5441,1805,workday,18,< 20
NJ TRANSIT - NEC,Secaucus,TRUE,3727,1747,workday,17,< 20
NJ TRANSIT - ME,East Orange,TRUE,6343,1706,workday,17,< 20
NJ TRANSIT - PVL,Hillsdale,FALSE,1624,1112,workday,11,< 20
NJ TRANSIT - MBPJ,Sloatsburg,FALSE,45,1058,workday,10,< 20
NJ TRANSIT - ME,Brick Church,TRUE,6662,1747,workday,17,< 20
NJ TRANSIT - NEC,Metropark,TRUE,3861,1716,workday,17,< 20
NJ TRANSIT - MBPJ,Rutherford,FALSE,1247,742,workday,7,< 20
NJ TRANSIT - PVL,Teterboro,TRUE,1641,1952,workday,19,< 20
NJ TRANSIT - NEC,Secaucus,FALSE,3716,911,workday,9,< 20
NJ TRANSIT - NEC,Edison,FALSE,3827,921,workday,9,< 20
NJ TRANSIT - MBPJ,Secaucus,FALSE,46,701,workday,7,< 20
NJ TRANSIT - ME,South Orange,FALSE,6305,636,workday,6,< 20
NJ TRANSIT - NEC,Secaucus,FALSE,3815,620,workday,6,< 20
NJ TRANSIT - ME,Maplewood,FALSE,6607,812,workday,8,< 20
NJ TRANSIT - NEC,Metropark,FALSE,7829,957,holiday,9,< 20
NJ TRANSIT - NEC,Metropark,FALSE,3829,937,workday,9,< 20
NJ TRANSIT - PVL,Secaucus,FALSE,1614,826,workday,8,< 20
NJ TRANSIT - ME,Millburn,FALSE,481,738,workday,7,< 20
NJ TRANSIT - ME,Broad St,TRUE,6671,2110,workday,21,< 20
NJ TRANSIT - MOBO,Little Falls,TRUE,1011,1919,workday,19,< 20
NJ TRANSIT - MOBO,Glen Ridge,TRUE,6283,1914,workday,19,< 20
NJ TRANSIT - NEC,Princeton Junction,FALSE,3829,1031,workday,10,< 20
NJ TRANSIT - ME,Newark Broad St.,FALSE,6328,1019,workday,10,< 20
NJ TRANSIT - NJCL,Middletown,FALSE,3227,958,workday,9,< 20
NJ TRANSIT - NEC,PSNY,FALSE,3915,839,workday,8,< 20
NJ TRANSIT - NEC,Metropark,FALSE,3709,804,workday,8,< 20
NJ TRANSIT - NEC,Metropark,FALSE,3821,731,workday,7,< 20
NJ TRANSIT - RVL,Hoboken,FALSE,2406,629,workday,6,< 20
NJ TRANSIT - MOBO,Watchung Ave,FALSE,6204,601,workday,6,< 20
NJ TRANSIT - NEC,Edison,TRUE,3876,2029,workday,20,< 20
NJ TRANSIT - NEC,Metropark,TRUE,3875,1905,workday,19,< 20
NJ TRANSIT - NEC,PSNY,TRUE,3961,1839,workday,18,< 20
NJ TRANSIT - NJCL,Newark Airport,TRUE,3270,1840,workday,18,< 20
NJ TRANSIT - NJCL,Secaucus,TRUE,3269,1755,workday,17,< 20
NJ TRANSIT - NEC,Secaucus,TRUE,3955,1752,workday,17,< 20
NJ TRANSIT - NJCL,PSNY,TRUE,3269,1745,workday,17,< 20
NJ TRANSIT - MOBO,Glen Ridge,TRUE,6245,1401,workday,14,< 20
NJ TRANSIT - NEC,NPS,TRUE,3843,1255,workday,24,< 20
NJ TRANSIT - ME,Newark Broad St.,TRUE,6625,1205,workday,24,< 20
NJ TRANSIT - NJCL,EWR,TRUE,3239,1207,workday,24,< 20
NJ TRANSIT - NEC,NPS,FALSE,3839,1155,workday,11,< 20
NJ TRANSIT - MOBO,Secaucus,FALSE,6226,1139,workday,11,< 20
NJ TRANSIT - NEC,Secaucus,FALSE,3836,1131,workday,11,< 20
NJ TRANSIT - ME,Newark Broad St.,FALSE,6628,1003,workday,10,< 20
NJ TRANSIT - NJCL,South Amboy,FALSE,3504,737,workday,7,< 20
NJ TRANSIT - MOBO,Montclair Heights,TRUE,6274,2114,workday,21,< 20
NJ TRANSIT - ME,Far Hills,TRUE,439,2006,workday,20,< 20
NJ TRANSIT - NEC,Princeton Junction,TRUE,3855,1640,workday,16,< 20
NJ TRANSIT - PVL,Nanuet,TRUE,1630,1450,workday,14,< 20
NJ TRANSIT - ME,Secaucus,FALSE,6625,1156,workday,11,< 20
NJ TRANSIT - NJCL,Secaucus,FALSE,3239,1153,workday,11,< 20
NJ TRANSIT - ME,South Orange,FALSE,6332,1042,workday,10,< 20
NJ TRANSIT - ME,PSNY,FALSE,6317,922,workday,9,< 20
NJ TRANSIT - NEC,Metuchen,TRUE,3723,1707,workday,17,< 20
NJ TRANSIT - NEC,Metropark,TRUE,3721,1647,workday,16,< 20
NJ TRANSIT - NEC,Edison,TRUE,3845,1357,workday,13,< 20
NJ TRANSIT - MOBO,PSNY,TRUE,6245,1329,workday,13,< 20
NJ TRANSIT - NEC,Edison,TRUE,3839,1231,workday,24,< 20
NJ TRANSIT - PVL,Essex St.,FALSE,1611,1142,workday,11,< 20
NJ TRANSIT - NEC,Edison,FALSE,3833,1052,workday,10,< 20
NJ TRANSIT - ME,Orange,FALSE,6332,1046,workday,10,< 20
NJ TRANSIT - NEC,PSNY,TRUE,3829,2119,workday,21,< 20
NJ TRANSIT - ME,Millington,TRUE,435,1859,workday,18,< 20
NJ TRANSIT - NEC,SEC,FALSE,3818,737,workday,7,< 20
NJ TRANSIT - NEC,Secaucus,TRUE,7851,1506,holiday,15,< 20
NJ TRANSIT - NEC,Metropark,FALSE,7837,1132,holiday,11,< 20
NJ TRANSIT - RVL,Roselle Park,FALSE,5514,1059,holiday,10,< 20
NJ TRANSIT - NEC,Princeton Junction,FALSE,3829,1031,workday,10,< 20
NJ TRANSIT - ME,Newark Broad St.,FALSE,6324,921,workday,9,< 20
NJ TRANSIT - MBPJ,Glen Rock,FALSE,42,531,workday,5,< 20
NJ TRANSIT - NEC,Metuchen,FALSE,3827,917,workday,9,< 20
NJ TRANSIT - MOBO,PSNY,FALSE,6214,859,workday,8,< 20
NJ TRANSIT - ME,Brick Church,FALSE,6318,812,workday,8,< 20
NJ TRANSIT - NEC,New Brunswick,TRUE,3963,1956,workday,19,< 20
NJ TRANSIT - ME,Lyons,FALSE,413,1051,workday,10,< 20
NJ TRANSIT - MBPJ,Harriman,TRUE,64,1442,workday,14,< 20
NJ TRANSIT - MBPJ,Salisbury Mills,TRUE,62,1219,workday,24,< 20
NJ TRANSIT - MBPJ,Hoboken,FALSE,1147,759,workday,7,< 20
NJ TRANSIT - MBPJ,Waldwick,FALSE,1252,709,workday,7,< 20
NJ TRANSIT - ME,South Orange,FALSE,808,844,workday,8,< 20
NJ TRANSIT - ME,Newark Broad St.,FALSE,6315,843,workday,8,< 20
NJ TRANSIT - PVL,Secaucus,TRUE,1628,1426,workday,14,< 20
NJ TRANSIT - PVL,Hoboken,FALSE,1607,957,workday,9,< 20
NJ TRANSIT - NEC,Metropark,FALSE,3827,912,workday,9,< 20
NJ TRANSIT - RVL,Bound Brook,TRUE,5749,2018,workday,20,< 20
NJ TRANSIT - PVL,Wood-Ridge,TRUE,1627,1722,workday,17,< 20
NJ TRANSIT - MBPJ,Radburn,TRUE,1165,1719,workday,17,< 20
NJ TRANSIT - NEC,PSNY,FALSE,3821,714,workday,7,< 20
NJ TRANSIT - ME,Chatham,TRUE,6663,2008,workday,20,< 20
NJ TRANSIT - ME,Maplewood,TRUE,432,1730,workday,17,< 20
NJ TRANSIT - RVL,Somerville,TRUE,5444,1611,workday,16,< 20
